1A	the	Please give me <b>[...]</b> blue book.	Please give me the blue book.	[Definite Article] specific item	Por favor, dame el libro azul.
2A	be	I like helping sick people, so I want to <b>[...]</b> a doctor.	I like helping sick people, so I want to be a doctor.	[Verb] exist or live	Me gusta ayudar a las personas enfermas, así que quiero ser doctor.
2B	be	They will <b>[...]</b> playing soccer.	They will be playing soccer.	[Auxiliary Verb] continuous tense or passive	Ellos estarán jugando fútbol.
2C	be	I didn't eat breakfast, so I <b>[...]</b> very hungry.	I didn't eat breakfast, so I am very hungry.	[Verb] expressing physical states or age	No desayuné, así que tengo mucha hambre.
3A	and	I bought apples <b>[...]</b> oranges.	I bought apples and oranges.	[Conjunction] in addition to	Compré manzanas y naranjas.
4A	of	Paris is the capital <b>[...]</b> France.	Paris is the capital of France.	[Preposition] belonging to or possession	París es la capital de Francia.
4B	of	This table is made <b>[...]</b> wood.	This table is made of wood.	[Preposition] origin or composition	Esta mesa está hecha de madera.
5A	a	I have <b>[...]</b> cat.	I have a cat.	[Indefinite Article] one non-specific item	Tengo un gato.
6A	in	My keys are <b>[...]</b> the box.	My keys are in the box.	[Preposition] location inside	Mis llaves están en la caja.
6B	in	My birthday is <b>[...]</b> December.	My birthday is in December.	[Preposition] time period	Mi cumpleaños es en diciembre.
6C	in	Oh no, I am <b>[...]</b> trouble.	Oh no, I am in trouble.	[Preposition] state or condition	Oh no, estoy en problemas.
7A	to	I want to go <b>[...]</b> the park.	I want to go to the park.	[Preposition] direction or destination	Quiero ir al parque.
7B	to	I need <b>[...]</b> sleep.	I need to sleep.	[Particle] infinitive marker	Necesito dormir.
8A	have	My family is big, because I <b>[...]</b> two brothers.	My family is big, because I have two brothers.	[Verb] possess or own	Mi familia es grande, porque tengo dos hermanos.
8B	have	I <b>[...]</b> eaten pizza.	I have eaten pizza.	[Auxiliary Verb] perfect tense indicator	He comido pizza.
8C	have	Your room is dirty, so you <b>[...]</b> to clean it.	Your room is dirty, so you have to clean it.	[Modal Verb] necessity or obligation	Tu habitación está sucia, así que tienes que limpiarla.
8D	have	I wake up early, so I usually <b>[...]</b> breakfast at 8 AM.	I wake up early, so I usually have breakfast at 8 AM.	[Verb] consuming food or drink	Me despierto temprano, así que usualmente desayuno a las 8 AM.
9A	it	I cannot find <b>[...]</b>.	I cannot find it.	[Pronoun] inanimate object or animal	No puedo encontrarlo.
9B	it	<b>[...]</b> is very cold today.	It is very cold today.	[Pronoun] dummy subject for weather or time	Hace mucho frío hoy.
10A	I	<b>[...]</b> live in a city.	I live in a city.	[Pronoun] first person singular subject	Yo vivo en una ciudad.
11A	that	Look at <b>[...]</b> bird.	Look at that bird.	[Demonstrative Pronoun] referring to a specific distant thing	Mira ese pájaro.
11B	that	The car <b>[...]</b> I bought is red.	The car that I bought is red.	[Conjunction] relative clause linker	El auto que compré es rojo.
11C	that	He was so tired <b>[...]</b> he slept.	He was so tired that he slept.	[Conjunction] expressing cause or result	Estaba tan cansado que durmió.
11D	that	I know <b>[...]</b> you are right.	I know that you are right.	[Conjunction] introducing a noun clause	Sé que tienes razón.
12A	for	I bought this gift <b>[...]</b> you.	I bought this gift for you.	[Preposition] intended recipient or purpose	Compré este regalo para ti.
12B	for	I lived there <b>[...]</b> five years.	I lived there for five years.	[Preposition] duration of time	Viví allí durante cinco años.
13A	you	Are <b>[...]</b> happy?	Are you happy?	[Pronoun] second person subject or object	¿Estás feliz?
14A	he	<b>[...]</b> is my friend.	He is my friend.	[Pronoun] third person male subject	Él es mi amigo.
15A	with	I went <b>[...]</b> my dog.	I went with my dog.	[Preposition] accompaniment or alongside	Fui con mi perro.
15B	with	I cut the apple <b>[...]</b> a knife.	I cut the apple with a knife.	[Preposition] using a tool or instrument	Corté la manzana con un cuchillo.
16A	on	The book is <b>[...]</b> the table.	The book is on the table.	[Preposition] resting upon a surface	El libro está sobre la mesa.
16B	on	I do not work <b>[...]</b> Sundays.	I do not work on Sundays.	[Preposition] indicating days or dates	No trabajo los domingos.
16C	on	It is very dark, so please turn <b>[...]</b> the light.	It is very dark, so please turn on the light.	[Adverb/Particle] causing an electronic device to operate	Está muy oscuro, así que por favor enciende la luz.
17A	do	The teacher gave us an assignment, so I usually <b>[...]</b> my homework at night.	The teacher gave us an assignment, so I usually do my homework at night.	[Verb] perform an action or task	El profesor nos dio una tarea, así que usualmente hago mi tarea en la noche.
17B	do	<b>[...]</b> you like soccer?	Do you like soccer?	[Auxiliary Verb] forming questions or negations	¿Te gusta el fútbol?
17C	do	I really <b>[...]</b> want to go!	I really do want to go!	[Auxiliary Verb] emphasis	¡De verdad que sí quiero ir!
17D	do	The test is very hard, but just <b>[...]</b> your best.	The test is very hard, but just do your best.	[Collocation] perform as well as possible	El examen es muy difícil, pero solo haz tu mejor esfuerzo.
18A	say	I didn't hear her, so what did she <b>[...]</b>?	I didn't hear her, so what did she say?	[Verb] speak words or express verbally	No la escuché, así que ¿qué dijo ella?
